Species_Tissue;Time;Treatment;Value
0然_TR;0;C;-32.31010939
0然_TR;0;C;-32.33788168
0然_TR;0;C;-30.88405244
0然_TR;0;C;-31.43652727
0然_TR;0;C;-31.25573569
0然_TR;0;P;-33.18864184
0然_TR;0;P;-34.55233807
0然_TR;0;P;-33.39044758
0然_TR;0;P;-30.53482933
0然_TR;0;P;-33.67395636
0然_TR;0;Fe;-32.09858199
0然_TR;0;Fe;-30.3001998
0然_TR;0;Fe;-31.76391215
0然_TR;0;Fe;-33.41167871
0然_TR;0;Fe;-32.98141973
0然_TS;0;C;-36.13709742
0然_TS;0;C;-35.5130478
0然_TS;0;C;-35.6680657
0然_TS;0;C;-35.9740899
0然_TS;0;C;-35.49208636
0然_TS;0;P;-35.3274358
0然_TS;0;P;-35.89185584
0然_TS;0;P;-34.37607611
0然_TS;0;P;-35.70997644
0然_TS;0;P;-36.13322175
0然_TS;0;Fe;-35.78072895
0然_TS;0;Fe;-36.14908163
0然_TS;0;Fe;-34.76588308
0然_TS;0;Fe;-34.81785338
0然_TS;0;Fe;-35.24785568
0然_TR;3;C;-35.3299103
0然_TR;3;C;-35.3320656
0然_TR;3;C;-31.12687768
0然_TR;3;C;-32.79958967
0然_TR;3;C;-33.19839036
0然_TR;3;P;-35.89475791
0然_TR;3;P;-35.98755427
0然_TR;3;P;-35.06595622
0然_TR;3;P;-35.93323248
0然_TR;3;P;-33.81177216
0然_TR;3;Fe;-35.12884011
0然_TR;3;Fe;-34.43597321
0然_TR;3;Fe;-34.72354704
0然_TR;3;Fe;-34.92933662
0然_TR;3;Fe;-34.73018288
0然_TS;3;C;-37.3656879
0然_TS;3;C;-37.44830298
0然_TS;3;C;-37.24151545
0然_TS;3;C;-37.07486004
0然_TS;3;C;-37.00918629
0然_TS;3;P;-37.73069207
0然_TS;3;P;-37.25717808
0然_TS;3;P;-37.43761153
0然_TS;3;P;-37.18119236
0然_TS;3;P;-37.2354001
0然_TS;3;Fe;-37.14276677
0然_TS;3;Fe;-37.35827262
0然_TS;3;Fe;-37.16746789
0然_TS;3;Fe;-37.09396883
0然_TS;3;Fe;-36.79663755
0然_TR;7;C;-35.79368496
0然_TR;7;C;-36.31181166
0然_TR;7;C;-36.43811559
0然_TR;7;C;-36.4428623
0然_TR;7;C;-36.11536026
0然_TR;7;P;-36.03324682
0然_TR;7;P;-35.43216465
0然_TR;7;P;-35.6629107
0然_TR;7;P;-35.51527233
0然_TR;7;P;-35.80042723
0然_TR;7;Fe;-36.62146337
0然_TR;7;Fe;-36.23200286
0然_TR;7;Fe;-37.05615772
0然_TR;7;Fe;-37.20210417
0然_TR;7;Fe;-36.36000791
0然_TS;7;C;-37.49999841
0然_TS;7;C;-37.71197772
0然_TS;7;C;-36.78994858
0然_TS;7;C;-37.62282682
0然_TS;7;C;-37.16054184
0然_TS;7;P;-36.90750761
0然_TS;7;P;-37.44670617
0然_TS;7;P;-36.39131287
0然_TS;7;P;-36.79287423
0然_TS;7;P;-37.60283662
0然_TS;7;Fe;-37.60268275
0然_TS;7;Fe;-38.56107801
0然_TS;7;Fe;-37.97150432
0然_TS;7;Fe;-37.44133794
0然_TS;7;Fe;-37.95967381
0然_TR;10;C;-35.92648462
0然_TR;10;C;-35.23158962
0然_TR;10;C;-36.03186992
0然_TR;10;C;-36.60961927
0然_TR;10;C;-35.48271292
0然_TR;10;P;-34.98119739
0然_TR;10;P;-33.40456086
0然_TR;10;P;-34.08731013
0然_TR;10;P;-34.75658642
0然_TR;10;P;-35.11073627
0然_TR;10;Fe;-37.97274376
0然_TR;10;Fe;-37.30136251
0然_TR;10;Fe;-37.22949822
0然_TR;10;Fe;-37.5924492
0然_TR;10;Fe;-37.69418138
0然_TS;10;C;-38.23968406
0然_TS;10;C;-38.31700214
0然_TS;10;C;-37.71013677
0然_TS;10;C;-37.99217876
0然_TS;10;C;-38.48763425
0然_TS;10;P;-37.06208486
0然_TS;10;P;-36.23606269
0然_TS;10;P;-35.72842377
0然_TS;10;P;-36.73230023
0然_TS;10;P;-37.12702173
0然_TS;10;Fe;-38.28122774
0然_TS;10;Fe;-38.29862092
0然_TS;10;Fe;-37.86890338
0然_TS;10;Fe;-38.01915004
0然_TS;10;Fe;-38.34730926
0然_TR;14;C;-36.30474643
0然_TR;14;C;-36.44291978
0然_TR;14;C;-36.28307255
0然_TR;14;C;-36.12041422
0然_TR;14;C;-35.56009206
0然_TR;14;P;-35.88194679
0然_TR;14;P;-34.49093459
0然_TR;14;P;-34.63658094
0然_TR;14;P;-35.37205433
0然_TR;14;P;-34.48773428
0然_TR;14;Fe;-36.47114594
0然_TR;14;Fe;-37.28238256
0然_TR;14;Fe;-36.73100042
0然_TR;14;Fe;-36.17098917
0然_TR;14;Fe;-36.34121639
0然_TS;14;C;-37.70256343
0然_TS;14;C;-36.95066477
0然_TS;14;C;-37.06576424
0然_TS;14;C;-37.12940874
0然_TS;14;C;-37.06957545
0然_TS;14;P;-36.8760354
0然_TS;14;P;-36.753295
0然_TS;14;P;-36.45125711
0然_TS;14;P;-36.88043873
0然_TS;14;P;-36.41793857
0然_TS;14;Fe;-37.7536641
0然_TS;14;Fe;-37.68603366
0然_TS;14;Fe;-37.44466832
0然_TS;14;Fe;-37.18474527
0然_TS;14;Fe;-36.92728835
0然_TR;17;C;-36.4393532
0然_TR;17;C;-36.57511285
0然_TR;17;C;-35.9388281
0然_TR;17;C;-36.47079418
0然_TR;17;C;-36.76011001
0然_TR;17;P;-37.38427973
0然_TR;17;P;-34.81822888
0然_TR;17;P;-34.9688983
0然_TR;17;P;-33.08687273
0然_TR;17;P;-35.03830717
0然_TR;17;Fe;-37.80692866
0然_TR;17;Fe;-37.50793528
0然_TR;17;Fe;-37.41792311
0然_TR;17;Fe;-37.244848
0然_TR;17;Fe;-36.82785011
0然_TS;17;C;-37.43393616
0然_TS;17;C;-36.26324759
0然_TS;17;C;-36.51674322
0然_TS;17;C;-37.53715602
0然_TS;17;C;-36.26637261
0然_TS;17;P;-36.02427883
0然_TS;17;P;-36.11079453
0然_TS;17;P;-34.20239183
0然_TS;17;P;-34.75115037
0然_TS;17;P;-35.31023556
0然_TS;17;Fe;-37.09967442
0然_TS;17;Fe;-38.31202379
0然_TS;17;Fe;-38.16605813
0然_TS;17;Fe;-37.98642033
0然_TS;17;Fe;-38.73643546
50然_TR;0;C;18.05941753
50然_TR;0;C;-4.503726944
50然_TR;0;C;0.633106501
50然_TR;0;C;41.08541971
50然_TR;0;C;25.29372861
50然_TR;0;P;-14.88886595
50然_TR;0;P;26.41379949
50然_TR;0;P;18.27043583
50然_TR;0;P;35.03537371
50然_TR;0;P;18.6095068
50然_TR;0;Fe;8.448962227
50然_TR;0;Fe;22.47685243
50然_TR;0;Fe;3.43115474
50然_TR;0;Fe;-6.625345306
50然_TR;0;Fe;2.503615431
50然_TS;0;C;-34.81076608
50然_TS;0;C;-33.65957517
50然_TS;0;C;-35.17539063
50然_TS;0;C;-33.87781119
50然_TS;0;C;-35.4019731
50然_TS;0;P;-34.64866723
50然_TS;0;P;-33.92038736
50然_TS;0;P;-35.58173168
50然_TS;0;P;-34.52741738
50然_TS;0;P;-34.61754076
50然_TS;0;Fe;-35.01955992
50然_TS;0;Fe;-34.90763763
50然_TS;0;Fe;-35.26024969
50然_TS;0;Fe;-35.18857467
50然_TS;0;Fe;-34.99763043
50然_TR;3;C;0.732369991
50然_TR;3;C;32.64908618
50然_TR;3;C;17.43357279
50然_TR;3;C;36.74617396
50然_TR;3;C;41.88124456
50然_TR;3;P;-6.155042647
50然_TR;3;P;-21.2797451
50然_TR;3;P;8.550629755
50然_TR;3;P;41.91376306
50然_TR;3;P;33.80950662
50然_TR;3;Fe;29.85501141
50然_TR;3;Fe;-16.24421242
50然_TR;3;Fe;68.5557467
50然_TR;3;Fe;9.853231298
50然_TR;3;Fe;64.61202301
50然_TS;3;C;-36.49192154
50然_TS;3;C;-37.36876888
50然_TS;3;C;-36.98025628
50然_TS;3;C;-37.25217648
50然_TS;3;C;-36.43720209
50然_TS;3;P;-36.62750306
50然_TS;3;P;-36.79537136
50然_TS;3;P;-36.44232587
50然_TS;3;P;-36.8698494
50然_TS;3;P;-36.59238098
50然_TS;3;Fe;-37.15631164
50然_TS;3;Fe;-36.70589057
50然_TS;3;Fe;-36.05888553
50然_TS;3;Fe;-36.9158536
50然_TS;3;Fe;-36.78413128
50然_TR;7;C;-7.616489742
50然_TR;7;C;3.60484435
50然_TR;7;C;-16.48012199
50然_TR;7;C;-21.90991907
50然_TR;7;C;-2.919477388
50然_TR;7;P;72.62060254
50然_TR;7;P;26.37643668
50然_TR;7;P;7.454836991
50然_TR;7;P;
50然_TR;7;P;-2.828275619
50然_TR;7;Fe;7.515697968
50然_TR;7;Fe;-6.780289914
50然_TR;7;Fe;-23.24872093
50然_TR;7;Fe;-0.956278358
50然_TR;7;Fe;-9.970321745
50然_TS;7;C;-37.49983723
50然_TS;7;C;-36.55057771
50然_TS;7;C;-37.64539004
50然_TS;7;C;-37.3359965
50然_TS;7;C;-36.74430525
50然_TS;7;P;-37.12385073
50然_TS;7;P;-35.94427436
50然_TS;7;P;-36.58527544
50然_TS;7;P;-36.60411448
50然_TS;7;P;-36.41304545
50然_TS;7;Fe;-36.9508388
50然_TS;7;Fe;-36.74181581
50然_TS;7;Fe;-37.28237829
50然_TS;7;Fe;-37.0868552
50然_TS;7;Fe;-37.21320262
50然_TR;10;C;-23.28541166
50然_TR;10;C;-19.17715131
50然_TR;10;C;-24.90797042
50然_TR;10;C;-15.12967313
50然_TR;10;C;-38.15733942
50然_TR;10;P;-6.261530383
