Element;Mode;Tissue;Treatment;ppb
23_Na;No Gas;S;SC;342.107
24_Mg;No Gas;S;SC;5208
27_Al;No Gas;S;SC;2.817
31_P;No Gas;S;SC;6731
34_S;No Gas;S;SC;8503
39_K;No Gas;S;SC;55634
44_Ca;No Gas;S;SC;34715
45_Sc;No Gas;S;SC;0
47_Ti;No Gas;S;SC;0.559
55_Mn;No Gas;S;SC;45.647
56_Fe;No Gas;S;SC;162.519
63_Cu;No Gas;S;SC;9.832
66_Zn;No Gas;S;SC;33.382
75_As;No Gas;S;SC;0
78_Se;No Gas;S;SC;0.129
98_Mo;No Gas;S;SC;2.522
114_Cd;No Gas;S;SC;0
208_Pb;No Gas;S;SC;0
23_Na;No Gas;S;SC;297.246
24_Mg;No Gas;S;SC;4925
27_Al;No Gas;S;SC;2.219
31_P;No Gas;S;SC;6430
34_S;No Gas;S;SC;8666
39_K;No Gas;S;SC;52233
44_Ca;No Gas;S;SC;32684
45_Sc;No Gas;S;SC;0
47_Ti;No Gas;S;SC;0.51
55_Mn;No Gas;S;SC;42.428
56_Fe;No Gas;S;SC;158.235
63_Cu;No Gas;S;SC;7.799
66_Zn;No Gas;S;SC;27.991
75_As;No Gas;S;SC;0
78_Se;No Gas;S;SC;0.267
98_Mo;No Gas;S;SC;2.255
114_Cd;No Gas;S;SC;0
208_Pb;No Gas;S;SC;0
23_Na;No Gas;S;SC;299.472
24_Mg;No Gas;S;SC;5019
27_Al;No Gas;S;SC;2.595
31_P;No Gas;S;SC;5768
34_S;No Gas;S;SC;11212
39_K;No Gas;S;SC;60472
44_Ca;No Gas;S;SC;35551
45_Sc;No Gas;S;SC;0
47_Ti;No Gas;S;SC;0.39
55_Mn;No Gas;S;SC;43.968
56_Fe;No Gas;S;SC;189.208
63_Cu;No Gas;S;SC;8.468
66_Zn;No Gas;S;SC;30.421
75_As;No Gas;S;SC;0.242
78_Se;No Gas;S;SC;0
98_Mo;No Gas;S;SC;3.712
114_Cd;No Gas;S;SC;0
208_Pb;No Gas;S;SC;0
23_Na;No Gas;S;SC;304.552
24_Mg;No Gas;S;SC;5273
27_Al;No Gas;S;SC;2.37
31_P;No Gas;S;SC;6563
34_S;No Gas;S;SC;9503
39_K;No Gas;S;SC;55800
44_Ca;No Gas;S;SC;33766
45_Sc;No Gas;S;SC;0
47_Ti;No Gas;S;SC;0.372
55_Mn;No Gas;S;SC;40.462
56_Fe;No Gas;S;SC;139.127
63_Cu;No Gas;S;SC;8.502
66_Zn;No Gas;S;SC;34.103
75_As;No Gas;S;SC;0
78_Se;No Gas;S;SC;0
98_Mo;No Gas;S;SC;2.257
114_Cd;No Gas;S;SC;0
208_Pb;No Gas;S;SC;0
23_Na;No Gas;S;SC;400.13
24_Mg;No Gas;S;SC;5429
27_Al;No Gas;S;SC;3.782
31_P;No Gas;S;SC;6362
34_S;No Gas;S;SC;11035
39_K;No Gas;S;SC;55239
44_Ca;No Gas;S;SC;35594
45_Sc;No Gas;S;SC;0
47_Ti;No Gas;S;SC;0.325
55_Mn;No Gas;S;SC;44.286
56_Fe;No Gas;S;SC;177.052
63_Cu;No Gas;S;SC;9.653
66_Zn;No Gas;S;SC;45.269
75_As;No Gas;S;SC;0.694
78_Se;No Gas;S;SC;1.418
98_Mo;No Gas;S;SC;2.53
114_Cd;No Gas;S;SC;0
208_Pb;No Gas;S;SC;0.024
23_Na;No Gas;S;SP;2677.576
24_Mg;No Gas;S;SP;10884
27_Al;No Gas;S;SP;33.88
31_P;No Gas;S;SP;5162
34_S;No Gas;S;SP;13610
39_K;No Gas;S;SP;45869
44_Ca;No Gas;S;SP;33633
45_Sc;No Gas;S;SP;0
47_Ti;No Gas;S;SP;0.907
55_Mn;No Gas;S;SP;190.405
56_Fe;No Gas;S;SP;645.704
63_Cu;No Gas;S;SP;16.965
66_Zn;No Gas;S;SP;111.827
75_As;No Gas;S;SP;0.137
78_Se;No Gas;S;SP;0.389
98_Mo;No Gas;S;SP;13.248
114_Cd;No Gas;S;SP;0
208_Pb;No Gas;S;SP;0.461
23_Na;No Gas;S;SP;4117.064
24_Mg;No Gas;S;SP;11346
27_Al;No Gas;S;SP;50.481
31_P;No Gas;S;SP;4480
34_S;No Gas;S;SP;13053
39_K;No Gas;S;SP;44301
44_Ca;No Gas;S;SP;34256
45_Sc;No Gas;S;SP;0.007
47_Ti;No Gas;S;SP;1.107
55_Mn;No Gas;S;SP;205.092
56_Fe;No Gas;S;SP;651.161
63_Cu;No Gas;S;SP;16.339
66_Zn;No Gas;S;SP;132.428
75_As;No Gas;S;SP;0
78_Se;No Gas;S;SP;0.074
98_Mo;No Gas;S;SP;12.098
114_Cd;No Gas;S;SP;0
208_Pb;No Gas;S;SP;0.577
23_Na;No Gas;S;SP;3849.562
24_Mg;No Gas;S;SP;12492
27_Al;No Gas;S;SP;47.836
31_P;No Gas;S;SP;4926
34_S;No Gas;S;SP;15158
39_K;No Gas;S;SP;46988
44_Ca;No Gas;S;SP;37961
45_Sc;No Gas;S;SP;0
47_Ti;No Gas;S;SP;0.788
55_Mn;No Gas;S;SP;213.226
56_Fe;No Gas;S;SP;785.314
63_Cu;No Gas;S;SP;19.162
66_Zn;No Gas;S;SP;159.595
75_As;No Gas;S;SP;0.343
78_Se;No Gas;S;SP;0.161
98_Mo;No Gas;S;SP;13.509
114_Cd;No Gas;S;SP;0
208_Pb;No Gas;S;SP;1.473
23_Na;No Gas;S;SP;4785.864
24_Mg;No Gas;S;SP;11543
27_Al;No Gas;S;SP;60.741
31_P;No Gas;S;SP;4767
34_S;No Gas;S;SP;15290
39_K;No Gas;S;SP;48411
44_Ca;No Gas;S;SP;35491
45_Sc;No Gas;S;SP;0.015
47_Ti;No Gas;S;SP;1.049
55_Mn;No Gas;S;SP;191.542
56_Fe;No Gas;S;SP;668.679
63_Cu;No Gas;S;SP;19.136
66_Zn;No Gas;S;SP;252.276
75_As;No Gas;S;SP;1.026
78_Se;No Gas;S;SP;0.91
98_Mo;No Gas;S;SP;13.326
114_Cd;No Gas;S;SP;0
208_Pb;No Gas;S;SP;3.465
23_Na;No Gas;S;Sfe;1052.125
24_Mg;No Gas;S;Sfe;6427
27_Al;No Gas;S;Sfe;12.651
31_P;No Gas;S;Sfe;5907
34_S;No Gas;S;Sfe;11273
39_K;No Gas;S;Sfe;58416
44_Ca;No Gas;S;Sfe;38840
45_Sc;No Gas;S;Sfe;0
47_Ti;No Gas;S;Sfe;0.624
55_Mn;No Gas;S;Sfe;125.059
56_Fe;No Gas;S;Sfe;52.012
63_Cu;No Gas;S;Sfe;13.663
66_Zn;No Gas;S;Sfe;245.929
75_As;No Gas;S;Sfe;0.406
78_Se;No Gas;S;Sfe;1.156
98_Mo;No Gas;S;Sfe;3.594
114_Cd;No Gas;S;Sfe;0
208_Pb;No Gas;S;Sfe;2.035
23_Na;No Gas;S;Sfe;1236.789
24_Mg;No Gas;S;Sfe;6643
27_Al;No Gas;S;Sfe;14.572
31_P;No Gas;S;Sfe;5784
34_S;No Gas;S;Sfe;10853
39_K;No Gas;S;Sfe;52276
44_Ca;No Gas;S;Sfe;43286
45_Sc;No Gas;S;Sfe;0
47_Ti;No Gas;S;Sfe;0.538
55_Mn;No Gas;S;Sfe;77.12
56_Fe;No Gas;S;Sfe;224.538
63_Cu;No Gas;S;Sfe;17.908
66_Zn;No Gas;S;Sfe;182.594
75_As;No Gas;S;Sfe;0.44
78_Se;No Gas;S;Sfe;1.375
98_Mo;No Gas;S;Sfe;4.647
114_Cd;No Gas;S;Sfe;0
208_Pb;No Gas;S;Sfe;1.563
23_Na;No Gas;S;Sfe;1211.949
24_Mg;No Gas;S;Sfe;5923
27_Al;No Gas;S;Sfe;13.871
31_P;No Gas;S;Sfe;4826
34_S;No Gas;S;Sfe;9411
39_K;No Gas;S;Sfe;52125
44_Ca;No Gas;S;Sfe;41790
45_Sc;No Gas;S;Sfe;0
47_Ti;No Gas;S;Sfe;0.836
55_Mn;No Gas;S;Sfe;93.121
56_Fe;No Gas;S;Sfe;72.956
63_Cu;No Gas;S;Sfe;13.264
66_Zn;No Gas;S;Sfe;238.461
75_As;No Gas;S;Sfe;0.251
78_Se;No Gas;S;Sfe;0
98_Mo;No Gas;S;Sfe;3.958
114_Cd;No Gas;S;Sfe;0
208_Pb;No Gas;S;Sfe;0.627
23_Na;No Gas;S;Sfe;1197.929
24_Mg;No Gas;S;Sfe;6729
27_Al;No Gas;S;Sfe;12.719
31_P;No Gas;S;Sfe;7549
34_S;No Gas;S;Sfe;9692
39_K;No Gas;S;Sfe;77952
44_Ca;No Gas;S;Sfe;33978
45_Sc;No Gas;S;Sfe;0
47_Ti;No Gas;S;Sfe;0.493
55_Mn;No Gas;S;Sfe;65.673
56_Fe;No Gas;S;Sfe;59.851
63_Cu;No Gas;S;Sfe;11.473
66_Zn;No Gas;S;Sfe;203.318
75_As;No Gas;S;Sfe;0
78_Se;No Gas;S;Sfe;0
98_Mo;No Gas;S;Sfe;3.422
114_Cd;No Gas;S;Sfe;0
208_Pb;No Gas;S;Sfe;0.807
23_Na;No Gas;S;Sfe;1155.299
24_Mg;No Gas;S;Sfe;4590
27_Al;No Gas;S;Sfe;12.645
31_P;No Gas;S;Sfe;6107
34_S;No Gas;S;Sfe;9958
39_K;No Gas;S;Sfe;75574
44_Ca;No Gas;S;Sfe;28148
45_Sc;No Gas;S;Sfe;0
47_Ti;No Gas;S;Sfe;0.716
55_Mn;No Gas;S;Sfe;49.172
56_Fe;No Gas;S;Sfe;67.379
63_Cu;No Gas;S;Sfe;10.64
66_Zn;No Gas;S;Sfe;125.434
75_As;No Gas;S;Sfe;0
78_Se;No Gas;S;Sfe;0
98_Mo;No Gas;S;Sfe;4.443
114_Cd;No Gas;S;Sfe;0
208_Pb;No Gas;S;Sfe;0.747
23_Na;No Gas;R;RC;1428.694
24_Mg;No Gas;R;RC;4021
27_Al;No Gas;R;RC;16.632
31_P;No Gas;R;RC;15481
34_S;No Gas;R;RC;19538
39_K;No Gas;R;RC;56210
44_Ca;No Gas;R;RC;5906
45_Sc;No Gas;R;RC;0
47_Ti;No Gas;R;RC;1.003
55_Mn;No Gas;R;RC;229.178
56_Fe;No Gas;R;RC;1557.234
63_Cu;No Gas;R;RC;25.147
66_Zn;No Gas;R;RC;139.705
75_As;No Gas;R;RC;0
78_Se;No Gas;R;RC;0
98_Mo;No Gas;R;RC;1.651
114_Cd;No Gas;R;RC;0
208_Pb;No Gas;R;RC;2.089
23_Na;No Gas;R;RC;1673.261
24_Mg;No Gas;R;RC;4562
27_Al;No Gas;R;RC;21.387
31_P;No Gas;R;RC;15355
34_S;No Gas;R;RC;22180
39_K;No Gas;R;RC;58137
44_Ca;No Gas;R;RC;6544
45_Sc;No Gas;R;RC;0
47_Ti;No Gas;R;RC;1.16
55_Mn;No Gas;R;RC;224.43
56_Fe;No Gas;R;RC;1537.729
63_Cu;No Gas;R;RC;24.438
66_Zn;No Gas;R;RC;150.587
75_As;No Gas;R;RC;0
78_Se;No Gas;R;RC;0
98_Mo;No Gas;R;RC;1.622
114_Cd;No Gas;R;RC;0
208_Pb;No Gas;R;RC;1.863
23_Na;No Gas;R;RC;1675.219
24_Mg;No Gas;R;RC;4653
27_Al;No Gas;R;RC;22.313
31_P;No Gas;R;RC;15291
34_S;No Gas;R;RC;23520
39_K;No Gas;R;RC;60935
44_Ca;No Gas;R;RC;6170
45_Sc;No Gas;R;RC;0
47_Ti;No Gas;R;RC;1.752
55_Mn;No Gas;R;RC;177.456
56_Fe;No Gas;R;RC;1308.593
63_Cu;No Gas;R;RC;25.805
66_Zn;No Gas;R;RC;140.394
75_As;No Gas;R;RC;0.655
78_Se;No Gas;R;RC;1.299
98_Mo;No Gas;R;RC;2.346
114_Cd;No Gas;R;RC;0
208_Pb;No Gas;R;RC;1.464
23_Na;No Gas;R;RC;1910.281
24_Mg;No Gas;R;RC;4155
27_Al;No Gas;R;RC;28.114
31_P;No Gas;R;RC;15297
34_S;No Gas;R;RC;20698
39_K;No Gas;R;RC;52491
44_Ca;No Gas;R;RC;6071
45_Sc;No Gas;R;RC;0
47_Ti;No Gas;R;RC;1.158
55_Mn;No Gas;R;RC;237.891
56_Fe;No Gas;R;RC;1748.262
63_Cu;No Gas;R;RC;27.495
66_Zn;No Gas;R;RC;190.233
75_As;No Gas;R;RC;0
78_Se;No Gas;R;RC;0
98_Mo;No Gas;R;RC;1.679
114_Cd;No Gas;R;RC;0
208_Pb;No Gas;R;RC;2.435
23_Na;No Gas;R;RP;9811.426
24_Mg;No Gas;R;RP;14201
27_Al;No Gas;R;RP;150.671
31_P;No Gas;R;RP;1215
34_S;No Gas;R;RP;11886
39_K;No Gas;R;RP;46996
44_Ca;No Gas;R;RP;14806
45_Sc;No Gas;R;RP;0.031
47_Ti;No Gas;R;RP;3.308
55_Mn;No Gas;R;RP;81.44
56_Fe;No Gas;R;RP;4431.183
63_Cu;No Gas;R;RP;86.874
66_Zn;No Gas;R;RP;999.033
75_As;No Gas;R;RP;2.791
78_Se;No Gas;R;RP;1.673
98_Mo;No Gas;R;RP;49.589
114_Cd;No Gas;R;RP;0
208_Pb;No Gas;R;RP;13.51
23_Na;No Gas;R;RP;7029.832
24_Mg;No Gas;R;RP;12286
27_Al;No Gas;R;RP;108.584
31_P;No Gas;R;RP;1268
34_S;No Gas;R;RP;8039
39_K;No Gas;R;RP;41769
44_Ca;No Gas;R;RP;11547
45_Sc;No Gas;R;RP;0
47_Ti;No Gas;R;RP;1.675
55_Mn;No Gas;R;RP;94.478
56_Fe;No Gas;R;RP;3707.575
63_Cu;No Gas;R;RP;56.595
66_Zn;No Gas;R;RP;668.633
75_As;No Gas;R;RP;0.616
78_Se;No Gas;R;RP;2.788
98_Mo;No Gas;R;RP;22.374
114_Cd;No Gas;R;RP;0
208_Pb;No Gas;R;RP;4.342
23_Na;No Gas;R;RP;9624.862
24_Mg;No Gas;R;RP;15018
27_Al;No Gas;R;RP;152.503
31_P;No Gas;R;RP;1466
34_S;No Gas;R;RP;10305
39_K;No Gas;R;RP;49864
44_Ca;No Gas;R;RP;12328
45_Sc;No Gas;R;RP;0.04
47_Ti;No Gas;R;RP;2.601
55_Mn;No Gas;R;RP;93.838
56_Fe;No Gas;R;RP;4426.953
63_Cu;No Gas;R;RP;90.259
66_Zn;No Gas;R;RP;953.416
75_As;No Gas;R;RP;1.741
78_Se;No Gas;R;RP;0
98_Mo;No Gas;R;RP;31.884
114_Cd;No Gas;R;RP;0
208_Pb;No Gas;R;RP;8.445
23_Na;No Gas;R;RP;12929.115
24_Mg;No Gas;R;RP;15043
27_Al;No Gas;R;RP;204.481
31_P;No Gas;R;RP;1496
34_S;No Gas;R;RP;14160
