Species_Tissue;Time;Treatment;Value
50然_TR;10;C;-0.002455889
50然_TS;17;C;-0.00168714
50然_TS;17;C;-0.00162973
50然_TS;17;C;-0.001322665
500然_TS;17;C;-0.001134059
50然_TS;17;P;-0.001025085
50然_TS;17;Fe;-0.000962964
500然_TS;17;C;-0.000891422
50然_TS;17;P;-0.00086096
50然_TS;14;C;-0.000853946
50然_TS;17;P;-0.000694783
50然_TS;14;C;-0.000617252
50然_TS;17;C;-0.000491463
50然_TS;7;C;-0.000300823
50然_TS;10;P;-0.000264638
50然_TS;17;P;-0.000239828
50然_TS;14;Fe;-0.000200787
50然_TS;3;C;-0.000162885
50然_TS;7;C;-0.000158139
50然_TS;14;C;-0.000148755
50然_TS;10;C;-0.000148144
50然_TS;10;P;-0.000133334
50然_TS;14;C;-0.000111277
50然_TS;7;P;-0.000110929
50然_TS;0;P;-0.000107306
500然_TS;17;C;-0.00010636
50然_TS;10;P;-9.62E-05
50然_TS;10;P;-5.84E-05
50然_TS;3;Fe;-5.44E-05
50然_TS;3;C;-2.71E-05
500然_TS;10;P;-1.31E-05
50然_TS;14;Fe;4.54E-06
50然_TS;10;P;1.20E-05
50然_TS;14;P;1.92E-05
50然_TS;7;C;2.08E-05
50然_TS;14;Fe;4.14E-05
50然_TS;0;Fe;0.000105639
50然_TS;0;Fe;0.000189196
50然_TS;3;Fe;0.000221196
50然_TS;3;C;0.000272359
50然_TS;10;C;0.000340955
50然_TS;0;Fe;0.000371479
500然_TS;0;Fe;0.000377592
50然_TS;3;Fe;0.000386011
50然_TS;0;Fe;0.000389609
500然_TS;0;Fe;0.00040001
50然_TS;10;C;0.000412662
500然_TS;0;P;0.000414312
50然_TS;14;P;0.000419139
50然_TS;0;C;0.000421429
50然_TS;10;Fe;0.00043896
50然_TS;14;C;0.000440249
50然_TS;3;Fe;0.000452416
50然_TS;14;P;0.000453055
50然_TS;7;P;0.000453747
500然_TS;0;Fe;0.000456456
500然_TS;17;C;0.000462898
50然_TS;14;P;0.000471693
50然_TS;7;P;0.000481743
500然_TS;0;P;0.000485608
50然_TS;0;Fe;0.000502472
50然_TS;17;Fe;0.000514809
50然_TS;10;C;0.000526722
50然_TS;7;C;0.000549225
50然_TS;3;P;0.000549232
50然_TS;0;C;0.000592402
50然_TS;7;P;0.000615044
500然_TS;10;P;0.000626322
50然_TS;3;P;0.000653355
500然_TS;0;P;0.000657454
50然_TS;7;Fe;0.000673746
50然_TS;7;Fe;0.000687751
50然_TS;17;P;0.000703591
50然_TS;3;C;0.000727912
500然_TS;17;P;0.000740489
50然_TS;17;Fe;0.000741737
50然_TS;3;C;0.000761617
500然_TS;17;C;0.000796516
500然_TS;10;P;0.000820659
50然_TS;3;P;0.000864455
500然_TS;10;C;0.000866491
50然_TS;3;P;0.000875381
500然_TS;3;Fe;0.000883032
50然_TS;7;C;0.000888256
50然_TS;3;P;0.00089201
500然_TS;10;P;0.000894173
50然_TS;10;Fe;0.000894654
50然_TS;7;Fe;0.000908269
500然_TS;3;C;0.000918438
500然_TS;10;C;0.000920734
500然_TS;3;C;0.000962228
50然_TS;14;Fe;0.000964516
500然_TS;0;P;0.000976335
50然_TS;0;P;0.000988161
50然_TS;10;Fe;0.001005874
50然_TS;3;Fe;0.001011287
500然_TS;14;C;0.001039948
50然_TS;17;C;0.00104104
50然_TS;0;P;0.001045904
50然_TS;7;Fe;0.001050932
500然_TS;3;P;0.001052545
500然_TS;0;Fe;0.001063706
50然_TS;0;C;0.001075671
50然_TS;0;P;0.001078804
500然_TS;0;Fe;0.001084652
500然_TS;14;C;0.0010887
50然_TS;7;Fe;0.001130348
50然_TS;7;P;0.001149128
50然_TS;14;Fe;0.001159324
500然_TS;17;P;0.001163115
500然_TS;7;C;0.001164388
50然_TS;10;C;0.001170046
500然_TS;3;C;0.001196033
500然_TS;7;P;0.001197315
500然_TS;17;Fe;0.001253599
500然_TS;0;C;0.001261963
500然_TS;10;Fe;0.001288553
500然_TS;14;C;0.001292572
500然_TS;3;P;0.001309775
500然_TS;10;C;0.001328814
500然_TS;3;P;0.001330804
500然_TS;3;Fe;0.001384599
500然_TS;3;P;0.001422225
500然_TS;3;C;0.001435282
500然_TS;3;Fe;0.001436009
500然_TS;14;C;0.001451658
500然_TS;3;C;0.00146511
50然_TS;17;Fe;0.001503827
500然_TS;0;C;0.001538446
500然_TS;17;P;0.001563683
500然_TS;3;Fe;0.001589828
50然_TS;17;Fe;0.001596458
50然_TS;0;P;0.001598176
50然_TS;10;Fe;0.001667405
50然_TS;14;P;0.001669937
500然_TS;7;C;0.001709158
500然_TS;10;C;0.001773776
500然_TS;3;Fe;0.001809384
500然_TS;7;P;0.001812677
500然_TS;10;C;0.001836014
50然_TS;10;Fe;0.001915901
500然_TS;0;P;0.001965125
500然_TS;14;C;0.001979914
