Time;Treatment;Species_Tissue;Value
0;C;50然_TR;0.147494626
0;C;50然_TR;0.187458207
0;C;50然_TR;0.269906901
0;C;50然_TR;0.327395659
0;C;50然_TR;0.414461671
3;C;50然_TR;0.186766858
3;C;50然_TR;0.279392548
3;C;50然_TR;0.295567323
3;C;50然_TR;0.302543623
3;C;50然_TR;0.336758057
7;C;50然_TR;0.087299379
7;C;50然_TR;0.104427549
7;C;50然_TR;0.176259896
7;C;50然_TR;0.204328489
7;C;50然_TR;0.217557983
10;C;50然_TR;-0.011694711
10;C;50然_TR;0.066044701
10;C;50然_TR;0.077598906
10;C;50然_TR;0.111492399
10;C;50然_TR;0.118410326
14;C;50然_TR;0.094827351
14;C;50然_TR;0.114612407
14;C;50然_TR;0.147220347
14;C;50然_TR;0.166182423
14;C;50然_TR;0.168097399
17;C;50然_TR;0.057655893
17;C;50然_TR;0.062552008
17;C;50然_TR;0.067922913
17;C;50然_TR;0.105290933
17;C;50然_TR;0.148808662
0;Fe;50然_TR;0.136957373
0;Fe;50然_TR;0.184555776
0;Fe;50然_TR;0.193728042
0;Fe;50然_TR;0.207287506
0;Fe;50然_TR;0.26837362
3;Fe;50然_TR;0.112909571
3;Fe;50然_TR;0.238827323
3;Fe;50然_TR;0.398273831
3;Fe;50然_TR;0.472468937
3;Fe;50然_TR;0.485884905
7;Fe;50然_TR;0.082640162
7;Fe;50然_TR;0.154415094
7;Fe;50然_TR;0.176909155
7;Fe;50然_TR;0.213139058
7;Fe;50然_TR;0.256687356
10;Fe;50然_TR;0.210069689
10;Fe;50然_TR;0.219958942
10;Fe;50然_TR;0.245356642
10;Fe;50然_TR;0.284446845
10;Fe;50然_TR;0.290028587
14;Fe;50然_TR;0.169507917
14;Fe;50然_TR;0.198311272
14;Fe;50然_TR;0.237472981
14;Fe;50然_TR;0.253998329
14;Fe;50然_TR;0.26894602
17;Fe;50然_TR;0.02248622
17;Fe;50然_TR;0.066358289
17;Fe;50然_TR;0.132424013
17;Fe;50然_TR;0.214071029
0;P;50然_TR;0.097577914
0;P;50然_TR;0.25561221
0;P;50然_TR;0.294500684
0;P;50然_TR;0.322050544
0;P;50然_TR;0.329895062
3;P;50然_TR;0.085163347
3;P;50然_TR;0.169758332
3;P;50然_TR;0.201718431
3;P;50然_TR;0.340945813
3;P;50然_TR;0.452930873
7;P;50然_TR;0.184122242
7;P;50然_TR;0.254516524
7;P;50然_TR;0.356874155
7;P;50然_TR;0.62275825
10;P;50然_TR;0.157954594
10;P;50然_TR;0.164244708
10;P;50然_TR;0.164363268
10;P;50然_TR;0.224608516
10;P;50然_TR;0.273411
14;P;50然_TR;0.15107761
14;P;50然_TR;0.184132318
14;P;50然_TR;0.188798981
14;P;50然_TR;0.236044013
14;P;50然_TR;0.295309083
17;P;50然_TR;0.09199693
17;P;50然_TR;0.106621029
17;P;50然_TR;0.144136115
17;P;50然_TR;0.145120023
17;P;50然_TR;0.426119861
0;C;50然_TS;0.001997292
0;C;50然_TS;0.003202171
0;C;50然_TS;0.005432684
0;C;50然_TS;0.010903855
0;C;50然_TS;0.011616837
3;C;50然_TS;-0.000775644
3;C;50然_TS;-0.00013409
3;C;50然_TS;0.001303152
3;C;50然_TS;0.003999519
3;C;50然_TS;0.004231205
7;C;50然_TS;-0.001453251
7;C;50然_TS;-0.000782866
7;C;50然_TS;0.000111159
7;C;50然_TS;0.002705543
7;C;50然_TS;0.004170216
10;C;50然_TS;-0.00068585
10;C;50然_TS;0.001775808
10;C;50然_TS;0.002230607
10;C;50然_TS;0.002646844
10;C;50然_TS;0.006031165
14;C;50然_TS;-0.004334749
14;C;50然_TS;-0.002884353
14;C;50然_TS;-0.000762848
14;C;50然_TS;-0.000559179
14;C;50然_TS;0.002246166
17;C;50然_TS;-0.008607855
17;C;50然_TS;-0.007797752
17;C;50然_TS;-0.00606727
17;C;50然_TS;-0.002340302
17;C;50然_TS;0.005627244
0;Fe;50然_TS;0.000525567
0;Fe;50然_TS;0.000965286
0;Fe;50然_TS;0.001891304
0;Fe;50然_TS;0.002018905
0;Fe;50然_TS;0.00261704
3;Fe;50然_TS;-0.000249453
3;Fe;50然_TS;0.001084292
3;Fe;50然_TS;0.00186479
3;Fe;50然_TS;0.002206905
3;Fe;50然_TS;0.005437029
7;Fe;50然_TS;0.00312614
7;Fe;50然_TS;0.00335197
7;Fe;50然_TS;0.00430459
7;Fe;50然_TS;0.00498072
7;Fe;50然_TS;0.006012492
10;Fe;50然_TS;0.002120579
10;Fe;50然_TS;0.004659657
10;Fe;50然_TS;0.00502937
10;Fe;50然_TS;0.008684404
10;Fe;50然_TS;0.00992695
14;Fe;50然_TS;-0.001073726
14;Fe;50然_TS;2.32709E-05
14;Fe;50然_TS;0.000227283
14;Fe;50然_TS;0.004946236
14;Fe;50然_TS;0.005884895
17;Fe;50然_TS;-0.005320243
17;Fe;50然_TS;0.002463201
17;Fe;50然_TS;0.003843197
17;Fe;50然_TS;0.007335741
17;Fe;50然_TS;0.007425388
0;P;50然_TS;-0.000533862
0;P;50然_TS;0.004971448
0;P;50然_TS;0.005146671
0;P;50然_TS;0.005623138
0;P;50然_TS;0.008500937
3;P;50然_TS;0.002831094
3;P;50然_TS;0.003171629
3;P;50然_TS;0.003997172
3;P;50然_TS;0.004073103
3;P;50然_TS;0.004410483
7;P;50然_TS;-0.000533311
7;P;50然_TS;0.002315034
7;P;50然_TS;0.002420821
7;P;50然_TS;0.003398034
7;P;50然_TS;0.005985044
