Time;Treatment;Species_Tissue;Value
0;C;0microM_TR;24
0;C;0microM_TR;7
0;C;0microM_TR;15
0;C;0microM_TR;11
0;C;0microM_TR;21
0;C;50microM_TR;19
0;C;50microM_TR;11
0;C;50microM_TR;17
0;C;50microM_TR;19
0;C;50microM_TR;14
0;C;500microM_TR;17
0;C;500microM_TR;10
0;C;500microM_TR;14
0;C;500microM_TR;14
0;C;500microM_TR;14
0;P;0microM_TR;17
0;P;0microM_TR;13
0;P;0microM_TR;10
0;P;0microM_TR;14
0;P;0microM_TR;19
0;P;50microM_TR;17
0;P;50microM_TR;14
0;P;50microM_TR;18
0;P;50microM_TR;13
0;P;50microM_TR;20
0;P;500microM_TR;13
0;P;500microM_TR;19
0;P;500microM_TR;20
0;P;500microM_TR;14
0;P;500microM_TR;13
0;Fe;0microM_TR;24
0;Fe;0microM_TR;19
0;Fe;0microM_TR;10
0;Fe;0microM_TR;17
0;Fe;0microM_TR;19
0;Fe;50microM_TR;12
0;Fe;50microM_TR;19
0;Fe;50microM_TR;20
0;Fe;50microM_TR;8
0;Fe;50microM_TR;15
0;Fe;500microM_TR;7
0;Fe;500microM_TR;9
0;Fe;500microM_TR;9
0;Fe;500microM_TR;12
0;Fe;500microM_TR;21
3;C;0microM_TR;31
3;C;0microM_TR;52
3;C;0microM_TR;32
3;C;0microM_TR;29
3;C;0microM_TR;28
3;C;50microM_TR;36
3;C;50microM_TR;37
3;C;50microM_TR;22
3;C;50microM_TR;59
3;C;50microM_TR;38
3;C;500microM_TR;44
3;C;500microM_TR;65
3;C;500microM_TR;38
3;C;500microM_TR;33
3;C;500microM_TR;35
3;P;0microM_TR;35
3;P;0microM_TR;46
3;P;0microM_TR;38
3;P;0microM_TR;66
3;P;0microM_TR;16
3;P;50microM_TR;36
3;P;50microM_TR;44
3;P;50microM_TR;37
3;P;50microM_TR;36
3;P;50microM_TR;17
3;P;500microM_TR;45
3;P;500microM_TR;29
3;P;500microM_TR;70
3;P;500microM_TR;59
3;P;500microM_TR;38
3;Fe;0microM_TR;28
3;Fe;0microM_TR;46
3;Fe;0microM_TR;29
3;Fe;0microM_TR;58
3;Fe;0microM_TR;21
3;Fe;50microM_TR;24
3;Fe;50microM_TR;47
3;Fe;50microM_TR;54
3;Fe;50microM_TR;9
3;Fe;50microM_TR;39
3;Fe;500microM_TR;30
3;Fe;500microM_TR;60
3;Fe;500microM_TR;80
3;Fe;500microM_TR;31
3;Fe;500microM_TR;48
7;C;0microM_TR;102
7;C;0microM_TR;133
7;C;0microM_TR;205
7;C;0microM_TR;113
7;C;0microM_TR;95
7;C;50microM_TR;60
7;C;50microM_TR;108
7;C;50microM_TR;74
7;C;50microM_TR;67
7;C;50microM_TR;70
7;C;500microM_TR;112
7;C;500microM_TR;110
7;C;500microM_TR;90
7;C;500microM_TR;49
7;C;500microM_TR;118
7;P;0microM_TR;73
7;P;0microM_TR;116
7;P;0microM_TR;118
7;P;0microM_TR;101
7;P;0microM_TR;109
7;P;50microM_TR;114
7;P;50microM_TR;157
7;P;50microM_TR;115
7;P;50microM_TR;87
7;P;50microM_TR;83
7;P;500microM_TR;46
7;P;500microM_TR;113
7;P;500microM_TR;71
7;P;500microM_TR;106
7;P;500microM_TR;75
7;Fe;0microM_TR;33
7;Fe;0microM_TR;47
7;Fe;0microM_TR;116
7;Fe;0microM_TR;140
7;Fe;0microM_TR;35
7;Fe;50microM_TR;100
7;Fe;50microM_TR;95
7;Fe;50microM_TR;28
7;Fe;50microM_TR;101
7;Fe;50microM_TR;122
7;Fe;500microM_TR;102
7;Fe;500microM_TR;130
7;Fe;500microM_TR;70
7;Fe;500microM_TR;77
7;Fe;500microM_TR;104
10;C;0microM_TR;321
10;C;0microM_TR;324
10;C;0microM_TR;306
10;C;0microM_TR;393
10;C;0microM_TR;84
10;C;50microM_TR;287
10;C;50microM_TR;159
10;C;50microM_TR;148
10;C;50microM_TR;200
10;C;50microM_TR;265
10;C;500microM_TR;225
10;C;500microM_TR;209
10;C;500microM_TR;381
10;C;500microM_TR;194
10;C;500microM_TR;242
10;P;0microM_TR;51
10;P;0microM_TR;136
10;P;0microM_TR;181
10;P;0microM_TR;194
10;P;0microM_TR;129
10;P;50microM_TR;217
10;P;50microM_TR;268
10;P;50microM_TR;176
10;P;50microM_TR;278
10;P;50microM_TR;132
10;P;500microM_TR;123
10;P;500microM_TR;262
10;P;500microM_TR;271
10;P;500microM_TR;85
10;P;500microM_TR;225
10;Fe;0microM_TR;111
10;Fe;0microM_TR;136
10;Fe;0microM_TR;179
10;Fe;0microM_TR;157
10;Fe;0microM_TR;202
10;Fe;50microM_TR;115
10;Fe;50microM_TR;275
10;Fe;50microM_TR;205
10;Fe;50microM_TR;224
10;Fe;50microM_TR;277
10;Fe;500microM_TR;122
10;Fe;500microM_TR;148
10;Fe;500microM_TR;249
10;Fe;500microM_TR;185
10;Fe;500microM_TR;98
14;C;0microM_TR;749
14;C;0microM_TR;898
14;C;0microM_TR;762
14;C;0microM_TR;734
14;C;0microM_TR;773
