$R;;
$R$`208_Pb`;;
;ppb;groups
P;13.38775;a
Fe;7.1915;a
C;2.013;a
;;
$R$`23_Na`;;
;ppb;groups
P;9649.904;a
Fe;8417.749;a
C;1598.698;b
;;
$R$`24_Mg`;;
;ppb;groups
P;13565.75;a
Fe;9333.25;b
C;4352;c
;;
$R$`27_Al`;;
;ppb;groups
P;148.88;a
Fe;113.1635;a
C;22.54275;b
;;
$R$`31_P`;;
;ppb;groups
C;14978.75;a
Fe;5608.5;b
P;1174.5;c
;;
$R$`34_S`;;
;ppb;groups
C;18166;a
Fe;7504.25;b
P;7006;b
;;
$R$`39_K`;;
;ppb;groups
C;58653.25;a
Fe;51775.75;ab
P;48199.25;b
;;
$R$`44_Ca`;;
;ppb;groups
P;13126.25;a
Fe;13010.5;a
C;5687.25;b
;;
$R$`47_Ti`;;
;ppb;groups
P;5.53875;a
Fe;4.8415;a
C;1.578;a
;;
$R$`55_Mn`;;
;ppb;groups
Fe;228.747;a
C;220.4008;a
P;102.6598;b
;;
$R$`56_Fe`;;
;ppb;groups
P;3490.829;a
C;1309.2235;b
Fe;358.2912;c
;;
$R$`63_Cu`;;
;ppb;groups
Fe;169.0962;a
P;78.3065;b
C;26.0075;c
;;
$R$`66_Zn`;;
;ppb;groups
Fe;1279.1968;a
P;931.1562;a
C;158.875;b
;;
$R$`75_As`;;
;ppb;groups
P;1.32275;a
Fe;0.45175;b
C;0.214;c
;;
$R$`98_Mo`;;
;ppb;groups
P;33.63075;a
Fe;3.33525;b
C;1.88125;b
;;
;;
$S;;
$S$`208_Pb`;;
;ppb;groups
P;1.48;a
Fe;1.1282;ab
C;0.0116;b
;;
$S$`23_Na`;;
;ppb;groups
P;3831.316;a
Fe;1075.281;b
C;305.244;b
;;
$S$`24_Mg`;;
;ppb;groups
P;11388.5;a
Fe;5737.2;b
C;5021.8;b
;;
$S$`27_Al`;;
;ppb;groups
P;47.14875;a
Fe;13.4248;b
C;2.8638;c
;;
$S$`31_P`;;
;ppb;groups
C;6171.2;a
Fe;5800.2;ab
P;4668.25;b
;;
$S$`34_S`;;
;ppb;groups
P;11921;a
C;8920;b
Fe;8594.2;b
;;
$S$`39_K`;;
;ppb;groups
Fe;63051.4;a
C;56091.2;ab
P;47285.5;b
;;
$S$`44_Ca`;;
;ppb;groups
Fe;36814.8;a
P;35252.5;a
C;34291.4;a
;;
$S$`47_Ti`;;
;ppb;groups
P;1.47575;a
Fe;0.897;b
C;0.5586;b
;;
$S$`55_Mn`;;
;ppb;groups
P;200.3622;a
Fe;82.017;b
C;44.2236;c
;;
$S$`56_Fe`;;
;ppb;groups
P;643.3162;a
C;153.4124;b
Fe;89.8054;b
;;
$S$`63_Cu`;;
;ppb;groups
P;17.9685;a
Fe;13.133;b
C;8.7442;c
;;
$S$`66_Zn`;;
;ppb;groups
Fe;197.7376;a
P;165.659;a
C;34.749;b
;;
$S$`75_As`;;
;ppb;groups
P;0.11725;a
Fe;0.0322;b
C;0.0026;c
;;
$S$`98_Mo`;;
;ppb;groups
P;12.9095;a
Fe;3.8852;b
C;2.558;c
