$`50然_TR`;;
$`50然_TR`$C;;
;Value;groups
0;0.05515384;a
3;0.0551179;a
7;0.03059634;ab
10;0.01397833;b
14;0.02829783;b
17;0.01784243;b
;;
$`50然_TR`$Fe;;
;Value;groups
0;0.04077421;ab
3;0.06669631;a
7;0.03712294;ab
10;0.05359851;a
14;0.04610292;ab
17;0.01732993;b
;;
$`50然_TR`$P;;
;Value;groups
0;0.05015635;a
3;0.050827;a
7;0.05520222;a
10;0.03883215;a
14;0.04237003;a
17;0.03503699;a
;;
;;
$`50然_TS`;;
$`50然_TS`$C;;
;Value;groups
0;0.001329632;a
3;0.000314381;ab
7;0.000199864;ab
10;0.000460448;ab
14;-0.000258196;b
17;-0.000817992;b
;;
$`50然_TS`$Fe;;
;Value;groups
0;0.000311679;a
3;0.000403302;a
7;0.000890209;a
10;0.001184559;a
14;0.000393799;a
17;0.000678773;a
;;
$`50然_TS`$P;;
;Value;groups
0;0.000920748;a
3;0.000766887;ab
7;0.000517747;abc
10;-0.000108114;bc
14;0.000606605;ab
17;-0.000423413;c
;;
;;
$`500然_TR`;;
$`500然_TR`$C;;
;Value;groups
0;0.20053052;a
3;0.18359736;ab
7;0.15321311;ab
10;0.08067054;b
14;0.09546235;ab
17;0.08519326;b
;;
$`500然_TR`$Fe;;
;Value;groups
0;0.16767498;ab
3;0.26515635;a
7;0.18584082;ab
10;0.09636496;b
14;0.10539317;b
17;0.0823238;b
;;
$`500然_TR`$P;;
;Value;groups
0;0.17275402;b
3;0.29390809;a
7;0.18051825;ab
10;0.17862751;ab
14;0.09796534;b
17;0.09205404;b
;;
;;
$`500然_TS`;;
$`500然_TS`$C;;
;Value;groups
0;0.002186911;a
3;0.001195418;a
7;0.002299597;a
10;0.001345166;a
14;0.001370558;a
17;-0.000174485;b
;;
$`500然_TS`$Fe;;
;Value;groups
0;0.000676483;c
3;0.00142057;bc
7;0.004032076;ab
10;0.003518339;ab
14;0.003255581;abc
17;0.004492577;a
;;
$`500然_TS`$P;;
;Value;groups
0;0.000899767;b
3;0.001899196;ab
7;0.002255523;ab
10;0.00088135;b
14;0.003210165;a
17;0.001569242;b
