Treatment;Time;Species_Tissue;N;mean;sd;se
1;C;0;50然_TR;5;0.055153843;0.0230869622059582;0.0103248033772982
2;C;0;50然_TS;5;0.0013296318;0.000900078137555124;0.000402527180126932
3;C;0;500然_TR;5;0.2005305248;0.0341858928842176;0.0152883960721274
4;C;0;500然_TS;5;0.0021869112;0.000782582759620157;0.00034998164970601
5;C;3;50然_TR;5;0.0551179004;0.0129983307371409;0.00581303022445441
6;C;3;50然_TS;5;0.0003143806;0.000423434140173298;0.000189365504284334
7;C;3;500然_TR;5;0.1835973614;0.0874443068549951;0.039106282874624
8;C;3;500然_TS;5;0.0011954182;0.000255619046671409;0.000114316312940192
9;C;7;50然_TR;5;0.0305963432;0.0108176381404689;0.00483779484761656
10;C;7;50然_TS;5;0.0001998638;0.000501710621289504;0.000224371810847397
11;C;7;500然_TR;5;0.1532131062;0.0942459878720995;0.042148087097727
12;C;7;500然_TS;5;0.0022995968;0.000838469658888561;0.000374975030869177
13;C;10;50然_TR;5;0.013978326;0.0105651220373665;0.0047248662132265
14;C;10;50然_TS;5;0.0004604482;0.000472987279424299;0.000211526341857084
15;C;10;500然_TR;5;0.080670535;0.0456841506416603;0.0204305732658186
16;C;10;500然_TS;5;0.0013451658;0.000456666715821506;0.000204227563927693
17;C;14;50然_TR;5;0.0282978292;0.00693359052143251;0.00310079594681426
18;C;14;50然_TS;5;-0.0002581962;0.000501305100887374;0.000224190456610312
19;C;14;500然_TR;5;0.0954623452;0.0199336659712162;0.00891460643048274
20;C;14;500然_TS;5;0.0013705584;0.000378391551569006;0.000169221846283983
21;C;17;50然_TR;5;0.017842432;0.00806225458706766;0.00360554986171856
22;C;17;50然_TS;5;-0.0008179916;0.00114364033117292;0.000511451504462603
23;C;17;500然_TR;5;0.0851932572;0.0262013992669086;0.0117176219732842
24;C;17;500然_TS;5;-0.0001744854;0.000834943406728743;0.000373398042962145
25;Fe;0;50然_TR;5;0.0407742088;0.00956455640967464;0.00427739966133276
26;Fe;0;50然_TS;5;0.000311679;0.000160861478171438;7.19394400304868e-05
27;Fe;0;500然_TR;5;0.16767498;0.0671036474483983;0.0300096634465598
28;Fe;0;500然_TS;5;0.0006764832;0.000364255615821088;0.0001629000636324
29;Fe;3;50然_TR;5;0.06669631;0.0305004316824024;0.013640207716988
30;Fe;3;50然_TS;5;0.000403302;0.000392113070408906;0.000175358296060095
31;Fe;3;500然_TR;5;0.2651563528;0.125694897895684;0.056212467223929
32;Fe;3;500然_TS;5;0.0014205704;0.000342893560075572;0.000153346661875177
33;Fe;7;50然_TR;5;0.0371229386;0.0150981687821649;0.00675210634653719
34;Fe;7;50然_TS;5;0.0008902092;0.00020716554840441;9.26472497656568e-05
35;Fe;7;500然_TR;5;0.1858408218;0.0822710089101821;0.0367927137001316
36;Fe;7;500然_TS;5;0.0040320756;0.001356854546112;0.000606803800137211
37;Fe;10;50然_TR;5;0.0535985106;0.0074695299341013;0.003340475338524
38;Fe;10;50然_TS;5;0.0011845588;0.000599977601192495;0.000268318140248735
39;Fe;10;500然_TR;5;0.0963649626;0.0316115676748066;0.0141371228392405
40;Fe;10;500然_TS;5;0.003518339;0.00181930705021788;0.000813618847246363
41;Fe;14;50然_TR;5;0.046102915;0.00829831529374216;0.00371111941910672
42;Fe;14;50然_TS;5;0.0003937986;0.000620682397726728;0.000277577606750905
43;Fe;14;500然_TR;5;0.1053931672;0.0352855062790083;0.0157801581320716
44;Fe;14;500然_TS;5;0.0032555812;0.000610734307618051;0.000273128685605046
45;Fe;17;50然_TR;5;0.01732993;0.0166873452909762;0.00746280768692676
46;Fe;17;50然_TS;5;0.0006787734;0.00103065621061307;0.000460923469672634
47;Fe;17;500然_TR;5;0.0823238014;0.0607304535277167;0.0271594844784733
48;Fe;17;500然_TS;5;0.0044925768;0.00226348377442864;0.00101226071711805
49;P;0;50然_TR;5;0.050156352;0.0191685792474088;0.00857244924585956
50;P;0;50然_TS;5;0.0009207478;0.000624698719011973;0.000279373760233562
51;P;0;500然_TR;5;0.1727540206;0.100841903131736;0.045097870076602
52;P;0;500然_TS;5;0.0008997668;0.000633790215896159;0.000283439601243616
53;P;3;50然_TR;5;0.0508269956;0.0314724510971889;0.0140749080143704
54;P;3;50然_TS;5;0.0007668866;0.00015589214367408;6.97170860826813e-05
55;P;3;500然_TR;5;0.2939080936;0.0656374206264424;0.0293539468776944
56;P;3;500然_TS;5;0.0018991956;0.00139394364708865;0.000623390550338838
57;P;7;50然_TR;5;0.0552022172;0.0455437371938595;0.0203677784629711
58;P;7;50然_TS;5;0.0005177466;0.000449648327685426;0.000201088845334743
59;P;7;500然_TR;5;0.1805182466;0.047504770717998;0.021244779316197
60;P;7;500然_TS;5;0.0022555228;0.000721926214371801;0.000322855218014887
61;P;10;50然_TR;5;0.0388321546;0.0122914830781148;0.00549691834139062
62;P;10;50然_TS;5;-0.0001081144;0.000102684722772183;4.59220040738642e-05
63;P;10;500然_TR;5;0.1786275116;0.0473042942507388;0.0211551235144609
64;P;10;500然_TS;5;0.0008813498;0.000758709918071261;0.000339305390402127
65;P;14;50然_TR;5;0.0423700288;0.0104906137375332;0.00469154508856349
