Treatment;Time;Species_Tissue;N;mean;sd;se
1;C;0;500microM_TR;5;1.042941044;0.212498599410729;0.0950322626811772
2;C;0;500microM_TS;5;0.0106968364;0.00323090943484939;0.00144490662509373
3;C;0;50microM_TR;5;0.2693434128;0.107217073552162;0.0479489329622459
4;C;0;50microM_TS;5;0.0066305678;0.00440964677961769;0.00197205399119764
5;C;3;500microM_TR;5;0.9307347774;0.424353563051085;0.189776682695294
6;C;3;500microM_TS;5;0.0057860948;0.00098867152350753;0.000442147346796224
7;C;3;50microM_TR;5;0.2802056818;0.0562685741730629;0.0251640713695915
8;C;3;50microM_TS;5;0.0017248284;0.00230986427166691;0.00103300270604905
9;C;7;500microM_TR;5;0.7340770956;0.40418129820356;0.180755371603455
10;C;7;500microM_TS;5;0.0115506902;0.0040076803397112;0.00179228913433674
11;C;7;50microM_TR;5;0.1579746592;0.0589395625601653;0.0263585736897262
12;C;7;50microM_TS;5;0.0009501602;0.00239446321486794;0.00107083650361348
13;C;10;500microM_TR;5;0.4085973844;0.224111271422738;0.10022560748503
14;C;10;500microM_TS;5;0.0065837534;0.00207234180024527;0.000926779427592542
15;C;10;50microM_TR;5;0.0723703242;0.0519242241687002;0.0232212189840302
16;C;10;50microM_TS;5;0.0023997148;0.00240764774596902;0.00107673280517217
17;C;14;500microM_TR;5;0.4718307584;0.0851306766840376;0.0380715960072129
18;C;14;500microM_TS;5;0.0065983576;0.00160491375466247;0.000717739250689942
19;C;14;50microM_TR;5;0.1381879854;0.0323874884290768;0.0144841251495807
20;C;14;50microM_TS;5;-0.0012589926;0.00250619777811116;0.0011208057193831
21;C;17;500microM_TR;5;0.4275531444;0.134222793742594;0.0600262581876746
22;C;17;500microM_TS;5;-0.0009022682;0.00399451664424811;0.00178640215075862
23;C;17;50microM_TR;5;0.0884460818;0.038623598169527;0.0172729982085398
24;C;17;50microM_TS;5;-0.003837187;0.00581452356881722;0.00260033399133
25;Fe;0;500microM_TR;5;0.8591217912;0.377379820855775;0.168769386554041
26;Fe;0;500microM_TS;5;0.0033343246;0.00171287184668273;0.000766019577185635
27;Fe;0;50microM_TR;5;0.1981804634;0.0473385160825406;0.0211704279829055
28;Fe;0;50microM_TS;5;0.0016036204;0.000844380302032976;0.000377618350841508
29;Fe;3;500microM_TR;5;1.3434188272;0.656258641933867;0.293487786837164
30;Fe;3;500microM_TS;5;0.007200478;0.00183053560841889;0.000818640411131713
31;Fe;3;50microM_TR;5;0.3416729134;0.161259297774358;0.0721173503654691
32;Fe;3;50microM_TS;5;0.0020687126;0.00210649071938646;0.000942051288504113
33;Fe;7;500microM_TR;5;0.913961367;0.405437581890501;0.18131719874806
34;Fe;7;500microM_TS;5;0.0198857072;0.00709868849552981;0.00317463000542007
35;Fe;7;50microM_TR;5;0.176758165;0.0653254909238941;0.0292144476738745
36;Fe;7;50microM_TS;5;0.0043551824;0.00118927628525873;0.00053186052357339
37;Fe;10;500microM_TR;5;0.4618155862;0.13791913341224;0.0616793115415263
38;Fe;10;500microM_TS;5;0.0167448218;0.00869521553683502;0.00388861860387509
39;Fe;10;50microM_TR;5;0.249972141;0.0364256938948438;0.016290065535294
40;Fe;10;50microM_TS;5;0.006084192;0.00317726568464088;0.00142091641068688
41;Fe;14;500microM_TR;5;0.5330932052;0.18904928986062;0.0845454126452815
42;Fe;14;500microM_TS;5;0.0156482758;0.00266809267336719;0.00119320731758364
43;Fe;14;50microM_TR;5;0.2256473038;0.0409795542940269;0.0183266138178175
44;Fe;14;50microM_TS;5;0.0020015976;0.00317294669598534;0.00141898490024132
45;Fe;17;500microM_TR;4;0.4971439035;0.204547281696903;0.102273640848452
46;Fe;17;500microM_TS;5;0.0222542162;0.0125215466278242;0.00559980588864964
47;Fe;17;50microM_TR;4;0.10883488775;0.0834494779668484;0.0417247389834242
48;Fe;17;50microM_TS;5;0.0031494568;0.00520808506604282;0.00232912644805464
49;P;0;500microM_TR;5;0.8506043038;0.499532548514747;0.223397747090537
50;P;0;500microM_TS;5;0.004538213;0.00315300907758644;0.00141006852623144
51;P;0;50microM_TR;5;0.2599272828;0.0952969663497575;0.0426180989615136
52;P;0;50microM_TS;5;0.0047416664;0.00327708467370608;0.0014655568196859
53;P;3;500microM_TR;5;1.4708005058;0.300117909572396;0.134216809413803
54;P;3;500microM_TS;5;0.009098099;0.00644426729656363;0.00288196394805901
55;P;3;50microM_TR;5;0.2501033592;0.146110389828991;0.0653425527753234
56;P;3;50microM_TS;5;0.0036966962;0.000664534068819425;0.000297188670248951
57;P;7;500microM_TR;5;0.8634186126;0.210582300197051;0.0941752676197746
