Treatment;Time;Species_Tissue;N;mean;sd;se
1;C;0;0microM_TR;5;15.6;6.98569967862919;3.12409987036266
2;C;0;0microM_TS;5;128.4;21.6402402944145;9.67780966954817
3;C;0;500microM_TR;5;13.8;2.48997991959775;1.113552872566
4;C;0;500microM_TS;5;116.4;22.4677546719738;10.0478853496644
5;C;0;50microM_TR;5;16;3.46410161513775;1.54919333848297
6;C;0;50microM_TS;5;124.6;19.2691463225541;8.61742420912421
7;C;3;0microM_TR;5;34.4;9.96493853468249;4.45645599103144
8;C;3;0microM_TS;5;270.8;46.3055072318617;20.7084523806102
9;C;3;500microM_TR;5;43;12.9807549857472;5.80517010948
10;C;3;500microM_TS;5;326.4;120.504356767712;53.8911866634981
11;C;3;50microM_TR;5;38.4;13.2400906341309;5.92114853723499
12;C;3;50microM_TS;5;255.8;59.5709660824801;26.640945929152
13;C;7;0microM_TR;5;129.6;44.5286424675175;19.9138143006306
14;C;7;0microM_TS;5;1061.8;295.553210099298;132.175413750062
15;C;7;500microM_TR;5;95.8;28.1992907712233;12.6111062163476
16;C;7;500microM_TS;5;887.2;299.765241480729;134.05909144851
17;C;7;50microM_TR;5;75.8;18.7136313953225;8.36899038116307
18;C;7;50microM_TS;5;409;28.2931087015902;12.6530628703093
19;C;10;0microM_TR;5;285.6;117.602295895956;52.5933455866804
20;C;10;0microM_TS;5;1995;684.107447701017;305.942151394671
21;C;10;500microM_TR;5;250.2;75.2774866743039;33.6651154758156
22;C;10;500microM_TS;5;1981.8;633.453786791112;283.289145573917
23;C;10;50microM_TR;5;211.8;62.2149499718516;27.8233714707618
24;C;10;50microM_TS;5;1698.4;402.056339335671;179.805061107856
25;C;14;0microM_TR;5;783.2;65.8080542183098;29.4302565398265
26;C;14;0microM_TS;5;5962.6;706.171225695298;315.809372881807
27;C;14;500microM_TR;5;738;189.830187272731;84.8946405846682
28;C;14;500microM_TS;5;5476.8;756.485095689267;338.310419585327
29;C;14;50microM_TR;5;588.8;277.526935629679;124.113818731034
30;C;14;50microM_TS;5;4972.2;1809.69740564549;809.321283545663
31;C;17;0microM_TR;5;1353.4;484.473219074078;216.663010225557
32;C;17;0microM_TS;5;8426.4;2861.01569377031;1279.48511519283
33;C;17;500microM_TR;5;1319.6;620.713541015499;277.591534453052
34;C;17;500microM_TS;5;9509.8;2829.86920192436;1265.55598058719
35;C;17;50microM_TR;5;1318.2;601.331605688575;268.923669467751
36;C;17;50microM_TS;5;8931.6;3261.46214143289;1458.57021085719
37;Fe;0;0microM_TR;5;17.8;5.06951674225463;2.26715680975093
38;Fe;0;0microM_TS;5;120;28.1780056072107;12.6015872016187
39;Fe;0;500microM_TR;5;11.6;5.54977477020464;2.48193472919817
40;Fe;0;500microM_TS;5;118.6;22.7332355814125;10.1666120217111
41;Fe;0;50microM_TR;5;14.8;4.96990945591567;2.22261107708929
42;Fe;0;50microM_TS;5;86.8;24.5193800900431;10.9654001294982
43;Fe;3;0microM_TR;5;36.4;15.1756383720752;6.78675180038286
44;Fe;3;0microM_TS;5;232.2;36.7722721625956;16.4450600485374
45;Fe;3;500microM_TR;5;49.8;21.0047613649858;9.3936148526539
46;Fe;3;500microM_TS;5;227.4;60.9983606337088;27.279296178604
47;Fe;3;50microM_TR;5;34.6;18.146625030567;8.11541742610939
48;Fe;3;50microM_TS;5;258.4;63.4255469034363;28.364766877237
49;Fe;7;0microM_TR;5;74.2;50.1268391183805;22.4174039531789
50;Fe;7;0microM_TS;5;467.2;204.542660586979;91.4742586742303
51;Fe;7;500microM_TR;5;96.6;23.9332404826425;10.7032705282077
52;Fe;7;500microM_TS;5;524.2;112.310729674417;50.2268852309199
53;Fe;7;50microM_TR;5;89.2;35.7449297103799;15.9856185366723
54;Fe;7;50microM_TS;5;473.6;135.448514203737;60.5744170421804
55;Fe;10;0microM_TR;5;157;35.5879192985485;15.9154013458662
56;Fe;10;0microM_TS;5;905;337.947481126876;151.134708124904
57;Fe;10;500microM_TR;5;160.4;59.1126044088738;26.4359603570591
58;Fe;10;500microM_TS;5;819;216.367742512603;96.7625960792702
59;Fe;10;50microM_TR;5;219.2;66.2132917169959;29.6114842586453
60;Fe;10;50microM_TS;5;1156.2;368.433440393241;164.768443580681
61;Fe;14;0microM_TR;5;227.2;67.6143475898422;30.2380554930372
62;Fe;14;0microM_TS;5;1206.8;379.461065196418;169.700147318734
63;Fe;14;500microM_TR;5;322;106.15790126034;47.475256713366
64;Fe;14;500microM_TS;5;2114.2;487.451228329563;217.994816452135
65;Fe;14;50microM_TR;5;293.8;132.709080322335;59.3493049664442
66;Fe;14;50microM_TS;5;1623.6;546.989305197094;244.621053877216
67;Fe;17;0microM_TR;5;542.8;326.489969218045;146.010753028672
68;Fe;17;0microM_TS;5;3003;1524.35199347132;681.710935807839
69;Fe;17;500microM_TR;4;419.5;106.020438281179;53.0102191405896
70;Fe;17;500microM_TS;5;2179;767.73921353543;343.343414091489
71;Fe;17;50microM_TR;5;607.2;321.251770423137;143.668159311658
72;Fe;17;50microM_TS;5;3414.6;518.665884746626;231.954435180705
73;P;0;0microM_TR;5;14.6;3.50713558335004;1.56843871413581
74;P;0;0microM_TS;5;126.2;35.5415250094871;15.8946531890444
75;P;0;500microM_TR;5;15.8;3.42052627529741;1.52970585407784
76;P;0;500microM_TS;5;118;21.2720473861826;9.51314879522022
77;P;0;50microM_TR;5;16.4;2.88097205817759;1.28840987267251
78;P;0;50microM_TS;5;125.2;10.9863551735778;4.9132473986153
79;P;3;0microM_TR;5;40.2;18.1438694880668;8.11418511004032
80;P;3;0microM_TS;5;236.6;60.8711754445402;27.2224172328616
81;P;3;500microM_TR;5;48.2;16.3920712541155;7.3307571232445
82;P;3;500microM_TS;5;270.8;86.0825185505164;38.4972726306683
83;P;3;50microM_TR;5;34;10.0747208398049;4.50555213042752
84;P;3;50microM_TS;5;268;41.6713330720293;18.6359866924185
85;P;7;0microM_TR;5;103.4;18.2565056897534;8.16455755078008
86;P;7;0microM_TS;5;396.4;91.8166651539904;41.0616609503318
87;P;7;500microM_TR;5;82.2;27.3989050876125;12.2531628569933
88;P;7;500microM_TS;5;407.8;35.4429118442602;15.8505520408596
89;P;7;50microM_TR;5;111.2;29.583779339361;13.230268326833
90;P;7;50microM_TS;5;486.6;100.452974072448;44.9239357136037
91;P;10;0microM_TR;5;138.2;56.2112088466348;25.1384168157026
92;P;10;0microM_TS;5;508.2;143.912125965813;64.359459289214
93;P;10;500microM_TR;5;193.2;84.3101417387019;37.7046416240759
94;P;10;500microM_TS;5;590.4;195.671408233293;87.506914012551
95;P;10;50microM_TR;5;214.2;61.6214248455843;27.5579389650242
96;P;10;50microM_TS;5;638;151.429851746609;67.7214884656266
97;P;14;0microM_TR;5;235.6;42.5534957435931;19.0305018325844
98;P;14;0microM_TS;5;560.4;123.573055315469;55.2635503745461
99;P;14;500microM_TR;5;257.6;112.954858239918;50.5149482826618
100;P;14;500microM_TS;5;656.2;174.940561334414;78.2357974331444
101;P;14;50microM_TR;5;219;91.9945650568554;41.1412202055311
102;P;14;50microM_TS;5;559.6;181.966480429776;81.3778839734728
103;P;17;0microM_TR;5;249.8;113.501982361543;50.7596296282784
104;P;17;0microM_TS;5;614.6;147.574726833561;65.9974241921607
105;P;17;500microM_TR;5;285.2;70.3078942935998;31.4426461990717
106;P;17;500microM_TS;5;762.4;237.245231775056;106.099293117344
107;P;17;50microM_TR;5;292.4;82.72121855969;36.9940535762168
108;P;17;50microM_TS;5;637.2;136.96605418862;61.2530815551348
